TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.javascript.jscomp.CollapseVariableDeclarations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19375,183,4
com.google.javascript.jscomp.CollapseVariableDeclarations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19375,183,4
com.google.javascript.jscomp.CollapseVariableDeclarations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19375,183,4
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,METHOD,0.0,0,0
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses,LINE,0.0,8,0
